Loss chance,Avg Time,stdDev,Avg transport Loss, stdDev, Avg Cargo Delivered, stdDev, Avg Cargo Lost, stdDev,LegCount, stdDev
0.0,34560.0,0.0,0.0,0.0,2.64E7,0.0,0.0,0.0,96.0,0.0
0.001,34560.0,0.0,90.5,8.840695376317527,2.5190385E7,143480.50949610947,24502.5,3503.474778889637,96.0,0.0
0.002,34560.0,0.0,171.95,12.339389219721918,2.40381625E7,217098.1289617306,48042.5,4929.9374128620375,96.0,0.0
0.003,34560.0,0.0,246.3,16.986372246753078,2.2975975E7,284724.5014229129,69410.0,5736.898116578331,96.0,0.0
0.004,34560.0,0.0,315.2,13.375547209661919,2.19367225E7,224685.91965991337,87670.0,7140.864609304747,96.0,0.0
0.0050000004,34560.0,0.0,377.2,11.033918996487724,2.0988385E7,199048.50380854675,105655.0,4811.0317309065285,96.0,0.0
0.0060000005,34560.0,0.0,433.9,12.242720715850533,2.00609475E7,233093.9134628381,121687.5,6899.272940336769,96.0,0.0
0.0070000007,34560.0,0.0,489.1,11.341122194544019,1.91738525E7,218794.47486228522,135905.0,6137.265377657176,96.0,0.0
0.008,34560.0,0.0,535.2,11.161965493774407,1.84107825E7,268708.53181908536,148252.5,8664.119522794173,96.0,0.0
0.009000001,34560.0,0.0,576.2,11.353645368686427,1.76603075E7,263095.4295923219,161122.5,6610.786142438177,96.0,0.0
0.010000001,34560.0,0.0,614.75,12.548327630237804,1.6954905E7,277550.01346367144,171022.5,8099.991471730404,96.0,0.0
0.011000001,34560.0,0.0,650.8,13.403063279085044,1.62842075E7,301384.85375408037,180537.5,6618.969449917969,96.0,0.0
0.012000001,34560.0,0.0,681.45,14.024320979903747,1.56839375E7,300698.2063180536,191785.0,9604.674026633842,96.0,0.0
0.013000001,34560.0,0.0,709.55,14.434880999637102,1.5101185E7,306932.8934456966,195992.5,7888.487197375546,96.0,0.0
0.014000001,34560.0,0.0,735.8,12.902876056380446,1.4540735E7,289571.7409973054,205562.5,6217.100250624546,96.0,0.0
0.0150000015,34560.0,0.0,759.5,10.490597293717235,1.40322325E7,274715.60570840683,209935.0,8827.276804851748,96.0,0.0
0.016,34560.0,0.0,780.85,11.183987613877637,1.3533355E7,271973.0989503035,214747.5,8189.908344066527,96.0,0.0
0.017,34560.0,0.0,800.55,10.753090131140027,1.30584575E7,254716.68744281775,223300.0,9292.78157892911,96.0,0.0
0.018000001,34560.0,0.0,818.75,10.340899889580006,1.26099875E7,247622.82697843,228250.0,10372.775601747611,96.0,0.0
0.019000001,34560.0,0.0,834.95,11.445408180622158,1.2174745E7,270528.49879059824,233557.5,7764.397068807421,96.0,0.0
0.020000001,34560.0,0.0,851.25,11.01613648961807,1.17712375E7,273472.8894843047,236747.5,8253.810523503356,96.0,0.0
0.021000002,34560.0,0.0,863.85,9.326109359720895,1.1395725E7,253198.18038965363,240185.0,8114.965058134067,96.0,0.0
0.022000002,34560.0,0.0,877.2,7.71601205968881,1.10319E7,253572.6984930606,243650.0,5721.335876395155,96.0,0.0
0.023000002,34560.0,0.0,889.6,8.804305167001209,1.06791025E7,272570.3363957545,246097.5,7253.84607603007,96.0,0.0
0.024000002,34560.0,0.0,900.75,9.187376923629623,1.0374265E7,272268.57246592303,250167.5,7708.834217960586,96.0,0.0
0.025000002,34560.0,0.0,906.8,7.911350939265083,1.005961E7,262567.2944318526,252120.0,8446.24488347212,96.0,0.0
0.026000002,34560.0,0.0,914.9,6.389959228928493,9750812.5,246710.9798908111,254925.0,6289.977407707734,96.0,0.0
0.027000003,34560.0,0.0,922.7,7.377776016345876,9481257.5,244398.59175395386,259902.5,8905.165192474711,96.0,0.0
0.028000003,34560.0,0.0,929.2,7.193564375262977,9227157.5,246775.01434291797,257867.5,7211.581967480105,96.0,0.0
0.029000003,34560.0,0.0,937.0,7.887364979243035,8964422.5,241112.61480838544,255915.0,10031.16328458994,96.0,0.0
0.030000003,34560.0,0.0,941.85,5.769931131578426,8727785.0,236938.65745111508,260727.5,7903.005341074535,96.0,0.0
0.031000003,34560.0,0.0,947.25,4.423323351698834,8504732.5,237686.9786277964,262982.5,7654.948090167425,96.0,0.0
0.032,34560.0,0.0,951.45,4.946822478276227,8273347.5,250174.53301066693,263972.5,10954.27668226337,96.0,0.0
0.033,34560.0,0.0,956.45,4.346504948019489,8060827.5,250539.94033676025,267987.5,8340.924393425596,96.0,0.0
0.033999998,34560.0,0.0,961.0,5.370484639504883,7841487.5,242592.68704808588,266255.0,7502.909961790615,96.0,0.0
0.034999996,34560.0,0.0,965.4,6.738733287183095,7642580.0,237075.5139523892,268482.5,8545.332290049839,96.0,0.0
0.035999995,34560.0,0.0,967.75,5.2201532544552744,7461520.0,229421.2744230464,273102.5,8840.568495056723,96.0,0.0
0.036999993,34560.0,0.0,971.5,4.071725355229777,7285547.5,217121.78578356,272085.0,9332.27421935635,96.0,0.0
0.03799999,34560.0,0.0,973.05,2.7810448623342614,7117797.5,212330.93055974777,271370.0,10353.41794567836,96.0,0.0
0.03899999,34560.0,0.0,976.5,4.370956778314644,6958710.0,205681.08272146396,270792.5,7831.771914183244,96.0,0.0
0.039999988,34560.0,0.0,978.65,3.9772378672429913,6803720.0,198370.37289400163,271617.5,7030.4839056332685,96.0,0.0
0.040999986,34560.0,0.0,980.3,3.4807742635345096,6662150.0,197848.04841887596,272937.5,7865.445331521788,96.0,0.0
0.041999985,34560.0,0.0,982.3,3.714835124201342,6520442.5,187902.36635789007,277750.0,9536.30183203001,96.0,0.0
0.042999983,34560.0,0.0,982.8,3.1051739505473592,6385747.5,184549.1658032737,273735.0,12254.409517866576,96.0,0.0
0.04399998,34560.0,0.0,984.3,3.540740332933659,6252840.0,185013.84557008586,276292.5,10096.303062325129,96.0,0.0
0.04499998,34560.0,0.0,986.05,3.691740425384896,6127357.5,181733.90848551368,274917.5,9974.14123727214,96.0,0.0
0.045999978,34560.0,0.0,987.3,3.614299087615308,5994615.0,174038.47812601973,274422.5,7143.2609942223835,96.0,0.0
0.046999976,34560.0,0.0,988.05,3.136793535477037,5870562.5,165004.52296432425,279235.0,6527.474324164867,96.0,0.0
0.047999974,34560.0,0.0,989.5,2.9468984587725093,5756025.0,150191.6657054193,276952.5,4994.746582265473,96.0,0.0
0.048999973,34560.0,0.0,990.0,3.340343505815248,5643055.0,146626.53409257138,275715.0,9700.340471507065,96.0,0.0
0.04999997,34560.0,0.0,991.05,3.6631163034541476,5540590.0,151951.33189004267,275880.0,10643.07780969198,96.0,0.0
